index,senate_budget_medicaid_id,senate_budget_hospital,safety_county,gannett,safety_hosptial_type,hospital_address_full_fha,safety_ownership,safety_total_ownership,gov_worksheet_base_add_on_in_patient,gov_worksheet_base_add_on_out_patient,senate_budget_in_patient_add_on,senate_budget_outpatient_add_on,senate_in_patient_cuts,senate_out_patient_cuts,senate_savings,senate_cut_percentage,safety_total_XIX_utilization_per_hospital_percent_2015,house_tier,house_add_on_percentage_keep,house_new_in_patient_add_on,house_new_out_patient_add_on,house_in_patient_cuts,house_out_patient_cuts,house_add_on_savings,gov_charitable_purpose_percent,gov_savings,lat,lng
15,100978,ST. JOSEPHS HOSPITAL,Hillsborough,No,Not-For-Profit,"3001 W Dr Martin Luther King Jr Bvd Tampa, FL 33607-6307",BayCare - St. Josephs-Baptist Health Care,BayCare," 20,430,541 "," 2,033,350 "," 13,769,029 "," 1,370,363 "," 6,661,512 "," 662,987 "," 7,324,499 ", 33 , 28 , 3 , 20 ," 4,086,108 "," 406,670 "," 16,344,433 "," 1,626,680 "," 17,971,113 ", 55 ," 22,463,891 ",27.9814645,-82.4899549
25,101109,LEE MEMORIAL HOSPITAL,Lee,Yes,Public/Government,"2776 Cleveland Ave. Ft. Myers, FL 33901-5864",Lee Memorial Health System,Lee Memorial Health System," 16,527,784 "," 3,804,535 "," 11,138,792 "," 2,564,041 "," 5,388,992 "," 1,240,494 "," 6,629,486 ", 33 , 25 , 2 , 62 ," 10,247,226 "," 2,358,812 "," 6,280,558 "," 1,445,723 "," 7,726,281 ", 23 ," 20,332,319 ",26.6282125,-81.8743414
54,100358,BAPTIST HOSPITAL OF MIAMI,Miami-Dade,No,Not-For-Profit,"8900 N. Kendall Dr. Miami, FL 33176-2118",Baptist Health South Florida,Baptist Health South Florida," 15,823,926 "," 1,679,347 "," 10,664,431 "," 1,131,785 "," 5,159,495 "," 547,562 "," 5,707,057 ", 33 , 18 , 4 , -   , -   , -   ," 15,823,926 "," 1,679,347 "," 17,503,273 ", 18 ," 17,503,272 ",25.6830929,-80.3403287
9,100765,SACRED HEART HOSPITAL,Escambia,Yes,Not-For-Profit,"5151 N. 9th Ave. Pensacola, FL 32504-8721","Sacred Heart Health System, Inc.","Sacred Heart Health System, Inc."," 13,188,982 "," 1,512,509 "," 8,888,628 "," 1,019,346 "," 4,300,354 "," 493,163 "," 4,793,517 ", 33 , 32 , 2 , 62 ," 8,177,169 "," 937,756 "," 5,011,813 "," 574,753 "," 5,586,567 ", 107 , -   ,30.4760103,-87.2129488
4,101486,ST. MARYS HOSPITAL,Palm Beach,No,Investor-Owned,"901 45th St. West Palm Beach, FL 33407-2413",Tenet HealthSystem,Tenet HealthSystem," 11,259,187 "," 862,895 "," 7,588,055 "," 581,542 "," 3,671,132 "," 281,353 "," 3,952,485 ", 33 , 43 , 2 , 62 ," 6,980,696 "," 534,995 "," 4,278,491 "," 327,900 "," 4,606,391 ", 151 , -   ,26.7532225,-80.0628561
37,100641,BAPTIST MEDICAL CENTER,Duval,No,Not-For-Profit,"800 Prudential Dr. Jacksonville, FL 32207-8202",Baptist Health,Baptist Health," 11,476,986 "," 174,383 "," 7,734,839 "," 117,524 "," 3,742,147 "," 56,859 "," 3,799,006 ", 33 , 22 , 4 , -   , -   , -   ," 11,476,986 "," 174,383 "," 11,651,369 ", 40 ," 11,651,369 ",30.3157254,-81.6636649
2,40876,NEMOURS HOSPITAL,Orange,No,Not-For-Profit,"13535 Nemours Pkwy. Orlando, FL 32827-7402",null,null," 9,128,686 ", -   ," 6,152,218 ", -   ," 2,976,468 ", -   ," 2,976,468 ", 33 , 69 , 1 , 73 ," 6,672,380 ", -   ," 2,456,306 ", -   ," 2,456,306 ", 16 , -   ,28.3767391,-81.2732873
11,100498,NORTH SHORE MEDICAL CENTER,Miami-Dade,No,Investor-Owned,"1100 N.W. 95th St. Miami, FL 33150-2038",Tenet HealthSystem,Tenet HealthSystem," 6,916,571 "," 1,485,237 "," 4,661,378 "," 1,000,966 "," 2,255,193 "," 484,271 "," 2,739,464 ", 33 , 30 , 3 , 20 ," 1,383,314 "," 297,047 "," 5,533,257 "," 1,188,190 "," 6,721,446 "," (1,168)", -   ,25.8601632,-80.2142174
69,101648,LAKELAND REGIONAL MEDICAL CENTER,Polk,No,Not-For-Profit,"1324 Lakeland Hills Blvd. Lakeland, FL 33805-4543",null,null," 6,614,048 "," 1,417,428 "," 4,457,494 "," 955,267 "," 2,156,554 "," 462,161 "," 2,618,715 ", 33 , 16 , 4 , -   , -   , -   ," 6,614,048 "," 1,417,428 "," 8,031,476 ", 92 , -   ,28.0606898,-81.9546908
6,102261,HOMESTEAD HOSPITAL,Miami-Dade,No,Not-For-Profit,"975 Baptist Way Homestead, FL 33033-7600",Baptist Health South Florida,Baptist Health South Florida," 7,691,454 "," 278,247 "," 5,183,605 "," 187,523 "," 2,507,849 "," 90,724 "," 2,598,573 ", 33 , 36 , 2 , 62 ," 4,768,701 "," 172,513 "," 2,922,753 "," 105,734 "," 3,028,486 ", (78), -   ,25.4792269,-80.4304752
134,120324,H. LEE MOFFIT CANCER CENTER,Hillsborough,No,Not-For-Profit,"12902 Magnolia Dr. Tampa, FL 33612-9416",null,null," 1,256,818 "," 6,693,186 "," 847,024 "," 4,510,829 "," 409,794 "," 2,182,357 "," 2,592,151 ", 33 , 10 , 4 , -   , -   , -   ," 1,256,818 "," 6,693,186 "," 7,950,004 ", 30 ," 7,950,004 ",28.0640079,-82.4216573
33,101133,TALLAHASSEE MEMORIAL HOSPITAL,Leon,Yes,Not-For-Profit,"1300 Miccosukee Rd. Tallahassee, FL 32308-5054",null,null," 6,930,746 "," 689,678 "," 4,670,931 "," 464,804 "," 2,259,815 "," 224,874 "," 2,484,689 ", 33 , 23 , 4 , -   , -   , -   ," 6,930,746 "," 689,678 "," 7,620,424 ", 41 ," 7,620,425 ",30.456681,-84.2616518
53,100218,BROWARD HEALTH - NORTH BROWARD MEDICAL CENTER,Broward Health,No,Public/Government,"201 E. Sample Rd. Deerfield Beach, FL 33064-3502",Broward Health,Broward Health," 6,075,695 "," 1,331,183 "," 4,094,675 "," 897,142 "," 1,981,020 "," 434,041 "," 2,415,061 ", 33 , 18 , 4 , -   , -   , -   ," 6,075,695 "," 1,331,183 "," 7,406,878 ", 155 , -   ,26.2769286,-80.1214753
52,101842,HALIFAX HEALTH,Volusia,No,Public/Government,"303 N. Clyde Morris Blvd. Daytona Beach, FL 32114-2709",Halifax Health,Halifax Health," 6,121,525 "," 1,222,913 "," 4,125,562 "," 824,174 "," 1,995,963 "," 398,739 "," 2,394,702 ", 33 , 18 , 4 , -   , -   , -   ," 6,121,525 "," 1,222,913 "," 7,344,438 ", 121 , -   ,29.2004452,-81.0547222
72,102521,MEMORIAL HOSPITAL WEST,Broward - Memorial Health,No,Public/Government,"703 N. Flamingo Rd. Pembroke Pines, FL 33028-1006",Memorial Healthcare System,Memorial Healthcare System," 4,337,608 "," 2,894,999 "," 2,923,302 "," 1,951,066 "," 1,414,306 "," 943,933 "," 2,358,239 ", 33 , 16 , 4 , -   , -   , -   ," 4,337,608 "," 2,894,999 "," 7,232,607 ", 12 ," 7,232,607 ",26.014047,-80.3096764
106,101583,MORTON F. PLANT HOSPITAL,Pinellas,No,Not-For-Profit,"300 Pinellas St. Clearwater, FL 33756-3804",BayCare - Morton Plant Mease Health Care,BayCare," 6,161,970 "," 1,024,445 "," 4,152,819 "," 690,418 "," 2,009,151 "," 334,027 "," 2,343,178 ", 33 , 12 , 4 , -   , -   , -   ," 6,161,970 "," 1,024,445 "," 7,186,415 ", 37 ," 7,186,415 ",27.9530818,-82.8038243
65,100749,BAPTIST HOSPITAL OF PENSACOLA,Escambia,Yes,Not-For-Profit,"1000 W. Moreno St. Pensacola, FL 32501-2316",Baptist Health Care,Baptist Health Care," 5,366,339 "," 1,752,205 "," 3,616,609 "," 1,180,887 "," 1,749,730 "," 571,318 "," 2,321,048 ", 33 , 16 , 4 , -   , -   , -   ," 5,366,339 "," 1,752,205 "," 7,118,544 ", 103 , -   ,30.4294318,-87.2312805
24,104604,PALMETTO GENERAL HOSPITAL,Miami-Dade,No,Investor-Owned,"2001 W. 68th St. Hialeah, FL 33016-1801",Tenet HealthSystem,Tenet HealthSystem," 6,785,342 ", -   ," 4,572,937 ", -   ," 2,212,405 ", -   ," 2,212,405 ", 33 , 26 , 3 , 20 ," 1,357,068 ", -   ," 5,428,274 ", -   ," 5,428,274 ", 347 , -   ,25.8847648,-80.3285197
58,101761,SARASOTA MEMORIAL HOSPITAL,Sarasota,No,Public/Government,"1700 S. Tamiami Tr. Sarasota, FL 34239-3509",null,null," 6,194,032 "," 389,932 "," 4,174,427 "," 262,792 "," 2,019,605 "," 127,140 "," 2,146,745 ", 33 , 15 , 4 , -   , -   , -   ," 6,194,032 "," 389,932 "," 6,583,964 ", 13 ," 6,583,964 ",27.3182559,-82.5311985
80,100081,HOLMES REGIONAL MEDICAL CENTER,Brevard,Yes,Not-For-Profit,"1350 S. Hickory St. Melbourne, FL 32901-3224","Health First, Inc.","Health First, Inc."," 6,255,064 "," 299,963 "," 4,215,559 "," 202,158 "," 2,039,505 "," 97,805 "," 2,137,310 ", 33 , 14 , 4 , -   , -   , -   ," 6,255,064 "," 299,963 "," 6,555,027 ", 7 ," 6,555,027 ",28.0693872,-80.6128678
62,100366,UNIVERSITY OF MIAMI HOSPITAL,Miami-Dade,No,Not-For-Profit,"1400 N.W. 12th Ave. Miami, FL 33136-1003",University of Miami Health System,University of Miami Health System," 5,465,061 "," 742,077 "," 3,683,142 "," 500,118 "," 1,781,919 "," 241,959 "," 2,023,878 ", 33 , 16 , 4 , -   , -   , -   ," 5,465,061 "," 742,077 "," 6,207,138 ", 538 , -   ,25.7886212,-80.2158643
22,100412,HIALEAH HOSPITAL,Miami-Dade,No,Investor-Owned,"651 E. 25th St. Hialeah, FL 33013-3814",Tenet HealthSystem,Tenet HealthSystem," 5,446,267 "," 631,648 "," 3,670,476 "," 425,695 "," 1,775,791 "," 205,953 "," 1,981,744 ", 33 , 26 , 3 , 20 ," 1,089,253 "," 126,330 "," 4,357,014 "," 505,318 "," 4,862,332 ", 335 , -   ,25.8454917,-80.2689241
31,119695,LAWNWOOD REGIONAL MEDICAL CENTER,St. Lucie,Yes,Investor-Owned,"1700 S. 23rd St. Ft. Pierce, FL 34950-4803",HCA East Florida Division,HCA," 5,606,828 "," 346,491 "," 3,778,685 "," 233,515 "," 1,828,143 "," 112,976 "," 1,941,119 ", 33 , 24 , 4 , -   , -   , -   ," 5,606,828 "," 346,491 "," 5,953,319 ", 34 ," 5,953,319 ",27.4319627,-80.3459279
42,101567,BAYFRONT MEDICAL CENTER,Pinellas,No,Investor-Owned,"701 6th St., S. St. Petersburg, FL 33701-4814",Health Management Associates,Health Management Associates," 5,575,051 "," 263,900 "," 3,757,269 "," 177,854 "," 1,817,782 "," 86,046 "," 1,903,828 ", 33 , 21 , 4 , -   , -   , -   ," 5,575,051 "," 263,900 "," 5,838,951 ", 67 , -   ,27.763198,-82.6426918
99,100463,MT. SINAI MEDICAL CENTER,Miami-Dade,No,Not-For-Profit/Teaching,"4300 Alton Rd. Miami Beach, FL 33140-2948",null,null," 4,741,456 "," 579,457 "," 3,195,473 "," 390,521 "," 1,545,983 "," 188,936 "," 1,734,919 ", 33 , 13 , 4 , -   , -   , -   ," 4,741,456 "," 579,457 "," 5,320,913 ", 50 ," 5,320,913 ",25.8132946,-80.1401372
112,100315,NCH DOWNTOWN NAPLES HOSPITAL,Collier,Yes,Not-For-Profit,"350 7th St., N. Naples, FL 34102-5754",NCH Healthcare System,NCH Healthcare System," 5,081,877 ", -   ," 3,424,898 ", -   ," 1,656,979 ", -   ," 1,656,979 ", 33 , 12 , 4 , -   , -   , -   ," 5,081,877 ", -   ," 5,081,877 ", 30 ," 5,081,877 ",26.1503471,-81.7987468
36,101168,MANATEE MEMORIAL HOSPITAL,Manatee,No,Investor-Owned,"206 Second St., E. Bradenton, FL 34208-1042","Universal Health Services, Inc.","Universal Health Services, Inc."," 4,652,285 "," 263,386 "," 3,135,377 "," 177,507 "," 1,516,908 "," 85,879 "," 1,602,787 ", 33 , 22 , 4 , -   , -   , -   ," 4,652,285 "," 263,386 "," 4,915,671 ", (363)," 4,915,671 ",27.4973268,-82.562227
64,101460,JFK MEDICAL CENTER,Palm Beach,No,Investor-Owned,"5301 S. Congress Ave. Atlantis, FL 33462-1149",HCA East Florida Division,HCA," 4,846,806 ", -   ," 3,266,473 ", -   ," 1,580,333 ", -   ," 1,580,333 ", 33 , 16 , 4 , -   , -   , -   ," 4,846,806 ", -   ," 4,846,806 ", 75 , -   ,26.5986046,-80.0915388
41,101389,OSCEOLA REGIONAL MEDICAL CENTER,Osceola,No,Investor-Owned,"700 W. Oak St. Kissimmee, FL 34741-4996",HCA West Florida Division,HCA," 3,821,759 "," 496,463 "," 2,575,649 "," 334,588 "," 1,246,110 "," 161,875 "," 1,407,985 ", 33 , 21 , 4 , -   , -   , -   ," 3,821,759 "," 496,463 "," 4,318,222 ", 67 , -   ,28.2996231,-81.4097325
23,120138,KENDALL REGIONAL  MEDICAL  CENTER,Miami-Dade,No,Investor-Owned,"11750 S.W. 40 St. Miami, FL 33175-3530",HCA East Florida Division,HCA," 4,053,682 "," 184,919 "," 2,731,952 "," 124,625 "," 1,321,730 "," 60,294 "," 1,382,024 ", 33 , 26 , 3 , 20 ," 810,736 "," 36,984 "," 3,242,946 "," 147,935 "," 3,390,881 ", 36 ," 4,238,601 ",25.7307897,-80.3853026
29,101401,BETHESDA HEALTHCARE SYSTEM,Palm Beach,No,Not-For-Profit,"2815 S. Seacrest Blvd. Boynton Beach, FL 33435-7934",null,null," 3,814,307 "," 200,974 "," 2,570,627 "," 135,445 "," 1,243,680 "," 65,529 "," 1,309,209 ", 33 , 24 , 4 , -   , -   , -   ," 3,814,307 "," 200,974 "," 4,015,281 ", (125), -   ,26.5047567,-80.0703818
48,118079,BRANDON REGIONAL HOSPITAL,Hillsborough,No,Investor-Owned,"119 Oakfield Dr. Brandon, FL 33511-5779",HCA West Florida Division,HCA," 3,872,046 ", -   ," 2,609,540 ", -   ," 1,262,506 ", -   ," 1,262,506 ", 33 , 19 , 4 , -   , -   , -   ," 3,872,046 ", -   ," 3,872,046 ", 47 ," 3,872,046 ",27.9327476,-82.2873855
20,120405,BROWARD HEALTH - CORAL SPRINGS MEDICAL CENTER,Broward Health,No,Public/Government,"3000 Coral Hills Dr. Coral Springs, FL 33065-4108",Broward Health,Broward Health," 3,665,524 "," 200,271 "," 2,470,356 "," 134,971 "," 1,195,168 "," 65,300 "," 1,260,468 ", 33 , 27 , 2 , 62 ," 2,272,625 "," 124,168 "," 1,392,899 "," 76,103 "," 1,469,002 ", 113 , -   ,26.2688102,-80.2556358
14,117617,GULF COAST MEDICAL CENTER,Bay,No,Investor-Owned,"449 W. 23rd St. Panama City, FL 32405-4507",HCA North Florida Division,HCA," 3,550,923 "," 285,925 "," 2,393,122 "," 192,697 "," 1,157,801 "," 93,228 "," 1,251,029 ", 33 , 28 , 3 , 20 ," 710,185 "," 57,185 "," 2,840,738 "," 228,740 "," 3,069,478 ", 12 ," 3,836,849 ",30.186569,-85.665132
18,120006,PLANTATION GENERAL HOSPITAL,Broward,No,Investor-Owned,"401 N.W. 42nd Ave. Plantation, FL 33317-2835",HCA East Florida Division,HCA," 3,807,918 ", -   ," 2,566,321 ", -   ," 1,241,597 ", -   ," 1,241,597 ", 33 , 27 , 3 , 20 ," 761,584 ", -   ," 3,046,334 ", -   ," 3,046,334 ", 523 , -   ,26.126466,-80.205193
73,101699,WINTER HAVEN HOSPITAL,Polk,No,Not-For-Profit,"200 Avenue F,  N.E. Winter Haven, FL 33881-4131",BayCare Health System,BayCare," 3,214,902 "," 565,545 "," 2,166,662 "," 381,145 "," 1,048,240 "," 184,400 "," 1,232,640 ", 33 , 15 , 4 , -   , -   , -   ," 3,214,902 "," 565,545 "," 3,780,447 ", 860 , -   ,28.0276768,-81.724656
44,103454,MEMORIAL HOSPITAL MIRAMAR,Broward - Memorial Health,No,Public/Government,"1901 S.W. 172nd Ave. Miramar, FL 33029-5592",Memorial Healthcare System,Memorial Healthcare System," 1,931,633 "," 1,662,801 "," 1,301,812 "," 1,120,634 "," 629,821 "," 542,167 "," 1,171,988 ", 33 , 20 , 4 , -   , -   , -   ," 1,931,633 "," 1,662,801 "," 3,594,434 ", 6 ," 3,594,434 ",25.9908868,-80.3728387
17,120260,PALMS WEST HOSPITAL,Palm Beach,No,Investor-Owned,"13001 Southern Blvd. Loxahatchee, FL 33470-9203",HCA East Florida Division,HCA," 2,753,255 "," 585,633 "," 1,855,538 "," 394,684 "," 897,717 "," 190,949 "," 1,088,666 ", 33 , 27 , 3 , 20 ," 550,651 "," 117,127 "," 2,202,604 "," 468,506 "," 2,671,110 ", 64 , -   ,26.6842194,-80.2520355
135,100471,UNIVERSITY OF MIAMI HOSPITAL & CLINICS,Miami-Dade,No,Not-For-Profit,"1475 N.W. 12th Ave. Miami, FL 33136-1002",University of Miami Health System,University of Miami Health System, -   ," 3,305,040 ", -   ," 2,227,410 ", -   ," 1,077,630 "," 1,077,630 ", 33 , 9 , 4 , -   , -   , -   , -   ," 3,305,040 "," 3,305,040 ", (10)," 3,305,040 ",25.7887329,-80.2145991
85,120227,SAINT ANTHONYS HOSPITAL,Pinellas,No,Not-For-Profit,"1200 7th Ave., N. St. Petersburg, FL 33705-1300",BayCare - St. Anthonys Health Care,BayCare," 2,698,871 "," 460,548 "," 1,818,886 "," 310,383 "," 879,985 "," 150,165 "," 1,030,150 ", 33 , 14 , 4 , -   , -   , -   ," 2,698,871 "," 460,548 "," 3,159,419 ", 61 , -   ,27.7786029,-82.650757
60,102229,MEMORIAL HOSPITAL PEMBROKE,Broward - Memorial Health,No,Public/Government,"7800 Sheridan St. Pembroke Pines, FL 33024-2536",Memorial Healthcare System,Memorial Healthcare System," 1,639,362 "," 1,382,279 "," 1,104,837 "," 931,578 "," 534,525 "," 450,701 "," 985,226 ", 33 , 17 , 4 , -   , -   , -   ," 1,639,362 "," 1,382,279 "," 3,021,641 ", 207 , -   ,26.0296726,-80.2456615
114,100731,SAINT VINCENTS MEDICAL CENTER,Duval,No,Not-For-Profit,"1 Shircliff Way Jacksonville, FL 32204-4748",St. Vincents HealthCare,St. Vincents HealthCare," 2,535,587 "," 281,687 "," 1,708,842 "," 189,841 "," 826,745 "," 91,846 "," 918,591 ", 33 , 12 , 4 , -   , -   , -   ," 2,535,587 "," 281,687 "," 2,817,274 ", 93 , -   ,30.307202,-81.689871
75,102288,HEART OF FLORIDA REGIONAL MEDICAL CENTER,Polk,No,Investor-Owned,"40100 Highway 27 Davenport, FL 33837-5906",Health Management Associates,Health Management Associates," 2,675,195 ", -   ," 1,802,930 ", -   ," 872,265 ", -   ," 872,265 ", 33 , 15 , 4 , -   , -   , -   ," 2,675,195 ", -   ," 2,675,195 ", 43 ," 2,675,195 ",28.1814929,-81.6418777
94,100064,BAY MEDICAL CENTER,Bay,No,Investor-Owned,"615 N. Bonita Ave. Panama City, FL 32401-3623",null,null," 2,007,005 "," 640,226 "," 1,352,608 "," 431,476 "," 654,397 "," 208,750 "," 863,147 ", 33 , 13 , 4 , -   , -   , -   ," 2,007,005 "," 640,226 "," 2,647,231 ", 6 , -   ,30.1596644,-85.6486243
56,108219,BROWARD HEALTH - IMPERIAL POINT HOSPITAL,Broward Health,No,Public/Government,"6401 N. Federal Hwy. Ft. Lauderdale, FL 33308-1427",Broward Health,Broward Health," 2,027,655 "," 339,013 "," 1,366,525 "," 228,476 "," 661,130 "," 110,537 "," 771,667 ", 33 , 18 , 4 , -   , -   , -   ," 2,027,655 "," 339,013 "," 2,366,668 ", 106 , -   ,26.2067802,-80.1108754
71,100986,SOUTH FLORIDA BAPTIST HOSPITAL,Hillsborough,No,Not-For-Profit,"301 N. Alexander St. Plant City, FL 33563-4303",BayCare - St. Josephs-Baptist Health Care,BayCare," 1,760,061 "," 567,153 "," 1,186,182 "," 382,229 "," 573,879 "," 184,924 "," 758,803 ", 33 , 16 , 4 , -   , -   , -   ," 1,760,061 "," 567,153 "," 2,327,214 ", 82 , -   ,28.0156281,-82.1387267
121,119971,ST. LUCIE MEDICAL CENTER,St. Lucie,Yes,Investor-Owned,"1800 S.E. Tiffany Ave. Port St. Lucie, FL 34952-7521",HCA East Florida Division,HCA," 2,153,546 "," 38,910 "," 1,451,368 "," 26,223 "," 702,178 "," 12,687 "," 714,865 ", 33 , 11 , 4 , -   , -   , -   ," 2,153,546 "," 38,910 "," 2,192,456 ", 8 ," 2,192,456 ",27.2886068,-80.2940786
93,100102,PARRISH MEDICAL CENTER,Brevard,Yes,Public/Government,"951 N. Washington Ave. Titusville, FL 32796-2194",null,null," 1,503,311 "," 588,712 "," 1,013,147 "," 396,759 "," 490,164 "," 191,953 "," 682,117 ", 33 , 13 , 4 , -   , -   , -   ," 1,503,311 "," 588,712 "," 2,092,023 ", (31), -   ,28.6308071,-80.8240873
105,115193,NORTHSIDE HOSPITAL & HEART INST.,Pinellas,No,Investor-Owned,"6000 49th St., N. St. Petersburg, FL 33709-2114",HCA West Florida Division,HCA," 1,875,802 "," 20,591 "," 1,264,184 "," 13,877 "," 611,618 "," 6,714 "," 618,332 ", 33 , 12 , 4 , -   , -   , -   ," 1,875,802 "," 20,591 "," 1,896,393 ", 111 , -   ,27.8256524,-82.7027066
51,120103,SAINT PETERSBURG GENERAL HOSPITAL,Pinellas,No,Investor-Owned,"6500 38th Ave., N. St. Petersburg, FL 33710-1629",HCA West Florida Division,HCA," 1,714,334 "," 83,537 "," 1,155,364 "," 56,300 "," 558,970 "," 27,237 "," 586,207 ", 33 , 18 , 4 , -   , -   , -   ," 1,714,334 "," 83,537 "," 1,797,871 ", 128 , -   ,27.8053915,-82.7267571
46,100871,BROOKSVILLE REGIONAL HOSPITAL,Hernando,No,Investor-Owned,"17240 Cortez Blvd. Brooksville, FL 34601-8921",Health Management Associates: Hernando HealthCare,Health Management Associates," 1,711,980 ", -   ," 1,153,777 ", -   ," 558,203 ", -   ," 558,203 ", 33 , 20 , 4 , -   , -   , -   ," 1,711,980 ", -   ," 1,711,980 ", 29 ," 1,711,980 ",28.5385,-82.4430386
